,description,number_rates,rating,price,url
0,"Amazon Brand - Solimo Kids' Multivitamin, 190 Gummies","3,759",4.8,11.88,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfYXRmOjIwMDAzOTU0NDMxNzQ0MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FAmazon-Brand-Solimo-Multivitamin-Gummies%2Fdp%2FB08CP6F42J%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-1-spons%26psc%3D1
1,"Centrum Kids Multivitamin Gummies, Tropical Punch Flavor Made with Natural Flavors, 110 Count, 110 Day Supply",353,4.8,10.47,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfYXRmOjIwMDA0OTI3ODE5NzA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FCentrum-Multivitamin-Gummies-Tropical-Natural%2Fdp%2FB09WYRNPLJ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-2-spons%26psc%3D1
2,"Whole Fruit Gummy Vitamins for Kids No Added Sugar, Vegan Kids Multivitamin Gummies, Plant Based Multivitamin for Kids, Whole Foods Toddler Vitamins, Organic Kids Vitamins Chewable 60 Bites Strawberry","1,772",4.3,25.95,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfYXRmOjIwMDA0MTk4MjEzNzE5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FMultivitamin-Organic-Plant-Based-Vitamins-Strawberry%2Fdp%2FB07PB657SW%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-3-spons%26psc%3D1%26smid%3DA14M046EBK0J2H
3,NATURELO Whole Food Multivitamin for Teens - Vitamins and Minerals for Teenage Boys and Girls - Supplement for Active Kids - with Organic Whole Foods - Non-GMO - Vegan & Vegetarian - 60 Capsules,"5,321",4.6,24.95,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfYXRmOjIwMDA2ODU4Njc4NjA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FNATURELO-Whole-Food-Multivitamin-Teens%2Fdp%2FB0774242NN%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-4-spons%26psc%3D1%26smid%3DA2W6BBFZZER1R5
4,"Lil Critters Gummy Vites Daily Kids Gummy Multivitamin: Vitamins C, D3 & Zinc for Immune Support, (95-190 Day Supply), from America’s No. 1 Kids Gummy Vitamin Brand, 190 Count","32,874",4.8,11.88,https://www.amazon.com/Lil-Critters-Gummy-Complete-Multivitamin/dp/B01613QBL6/ref=sr_1_5?keywords=multivitamin+for+kids&qid=1660952859&sr=8-5
5,"SmartyPants Kids Formula Daily Gummy Multivitamin: Vitamin C, D3, and Zinc for Immunity, Gluten Free, Omega 3 Fish Oil (DHA/EPA), Vitamin B6, B12, 120 Count (30 Day Supply)","70,291",4.6,9.50,https://www.amazon.com/gp/bestsellers/boost/ref=sr_bs_5_boost_1
6,Kids Vitamins by MaryRuth's | Sugar Free | 2 Month Supply | Kids Multivitamin Gummies with Organic Ingredients | Multivitamin for Kids | Vitamins for Kids | Vegan | Non-GMO | Gluten Free | 60 Count,"8,316",4.7,29.95,https://www.amazon.com/gp/bestsellers/hpc/16225031/ref=sr_bs_6_16225031_1
7,"OLLY Kids Multivitamin + Probiotic Gummy, Digestive and Immune Support, Vitamins A, D, C, E, B, Zinc, Chewable Supplement, Berry, 35 Day Supply - 70 Count","20,431",4.7,12.49,https://www.amazon.com/Multivitamin-Probiotic-Supplement-PROBIOTICS-Gummies/dp/B014G3M6I0/ref=sr_1_8?keywords=multivitamin+for+kids&qid=1660952859&sr=8-8
8,"Centrum Kids Multivitamin Gummies, Tropical Punch Flavor Made with Natural Flavors, 110 Count, 110 Day Supply",353,4.8,10.47,https://www.amazon.com/Centrum-Multivitamin-Gummies-Tropical-Natural/dp/B09WYRNPLJ/ref=sr_1_9?keywords=multivitamin+for+kids&qid=1660952859&sr=8-9
9,"Culturelle Kids Complete Multivitamin + Probiotic Chewable, Digestive & Immune Support for Kids, With 11 Vitamins & Minerals including Vitamin C, D3 and Zinc, Fruit Punch Flavor, 50 Count","3,758",4.8,15.73,https://www.amazon.com/Culturelle-Multivitamin-Probiotic-Supplement-probiotic%E2%8C%98/dp/B07N7ZM39Z/ref=ice_ac_b_dpb?keywords=multivitamin+for+kids&qid=1660952859&sr=8-10
